"190BCKG","209Bi_CD11b","140Ce","133Cs","161Dy_CD274","163Dy_CXCR3","162Er_CD80","164Er_CX3CR1","166Er_CD34","167Er","168Er_CD206","170Er_CD3","151Eu","153Eu","Event_length","152Gd_CD45RO","154Gd_CD163","155Gd","156Gd","157Gd","158Gd_CD33","160Gd_CD14","165Ho_CD127","113In","115In_CD45_A","191Ir_DNA1","193Ir_DNA2","139La","175Lu","176Lu_CD56","142Nd_CD19","143Nd_CD64","144Nd","145Nd_CD4","146Nd_CD8A","148Nd_CD16","150Nd_CD275","208Pb","102Pd","104Pd","105Pd","106Pd","108Pd","110Pd","141Pr_CD45_B","194Pt_Cisplatin","195Pt_Cisplatin","103Rh","SampleID","147Sm_CD20","149Sm_CD66","120Sn","159Tb_CD11c","169Tm_CD25","131Xe","89Y","171Yb","172Yb","173Yb","174Yb_HLADR","Time"
0.000000,6.867991,0.933477,0.422064,0.000000,0.000000,0.186888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,0.000000,3.503298,0.820472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.447596,60.811420,118.955406,0.000000,0.000000,0.000000,0.780675,0.000000,0.000000,0.285803,0.000000,0.493568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.661244,78.815765,108.648193,0.000000,95659.226562,0.000000,21.105904,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.279224,2594.856689
0.000000,0.000000,0.000000,0.000000,4.992077,0.000000,0.000000,0.000000,0.000000,0.000000,0.324846,0.000000,0.000000,0.000000,10.000000,0.000000,0.287379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.518548,21.811737,13.725269,0.528321,0.000000,2.863609,0.558798,0.000000,0.753917,1.890721,0.000000,0.000000,0.878432,3.786020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.212585,162.334229,100.744766,0.000000,111542.523438,0.000000,0.000000,0.000000,24.135344,0.000000,0.356820,0.000000,0.822221,0.000000,0.000000,76.604347,2599.338135
0.000000,0.000000,0.000000,1.598943,0.000000,0.840229,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,121.579124,256.958801,0.700236,0.000000,0.000000,4.714938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.128030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.356645,18.832024,68.130836,0.000000,110208.984375,0.000000,3.663296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2603.368896
0.000000,402.398865,0.000000,0.000000,1.763119,5.040467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.946235,10.000000,5.358099,26.514502,0.000000,0.845724,0.000000,0.000000,0.000000,0.000000,0.000000,2.770618,11.857054,17.607780,2.721281,0.000000,0.945143,1.261606,0.729403,0.000000,0.000000,0.000000,2.542896,2.886933,13.161524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.071719,117.239868,86.052536,0.000000,94494.687500,0.000000,692.637085,9.709010,9.684695,0.000000,0.000000,0.000000,0.000000,1.451741,0.000000,154.567841,2606.265869
0.000000,0.000000,0.000000,0.922977,0.544965,0.744908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0.081375,1.355396,0.166773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.070962,51.793087,0.000000,0.000000,0.000000,0.000000,0.403600,0.000000,0.000000,0.000000,0.000000,0.730670,1.293013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.008025,227.902908,239.547409,0.000000,105637.007812,0.000000,6.180275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2607.045410
0.000000,0.000000,0.941828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.814538,0.000000,0.000000,0.920655,0.000000,11.000000,2.731940,0.983907,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.429758,8.138570,0.000000,1.170593,1.161606,0.421187,0.618271,0.000000,0.000000,0.352702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.059391,219.923660,188.501007,0.000000,101783.609375,0.000000,0.000000,0.000000,232.579956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.107384,2609.101807
0.000000,4.105384,0.000000,0.000000,0.162592,7.760553,0.000000,0.000000,0.000000,0.000000,0.023127,0.000000,0.000000,0.000000,10.000000,1.991095,1.988848,0.000000,0.000000,0.000000,0.474985,0.000000,1.989305,0.000000,0.000000,19.866171,51.039951,0.000000,0.000000,0.000000,0.004592,0.000000,0.000000,0.000000,0.000000,0.000000,5.344431,1.109256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.385510,170.783890,223.128250,0.000000,111968.812500,0.000000,447.157196,21.355909,0.711118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2609.722412
0.000000,0.000000,4.942841,0.000000,0.000000,1.243709,0.000000,0.000000,0.000000,0.000000,0.286535,0.000000,0.000000,0.000000,11.000000,0.000000,0.805646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.692629,13.231487,51.553757,2.347862,0.000000,0.000000,0.000000,0.196468,0.701427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.259823,201.120743,186.842880,0.000000,101123.828125,0.000000,5.438132,0.000000,0.000000,0.000000,0.418137,0.000000,0.000000,0.000000,0.000000,0.000000,2610.711426
0.000000,0.000000,0.000000,0.631984,2.827729,2.483666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.474656,0.000000,3.087363,9.757324,14.834583,3.440770,0.000000,9.006052,0.000000,0.000000,0.735515,0.000000,0.000000,0.345873,0.000000,1.798092,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.819542,2.400272,9.603674,0.000000,101245.718750,0.000000,17.884747,0.000000,0.473603,1.900229,0.000000,0.000000,0.000000,0.000000,0.000000,85.963394,2614.768799
0.000000,0.416016,0.292291,1.941785,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0.479151,0.000000,0.000000,0.000000,0.000000,0.934385,0.000000,0.000000,0.000000,0.000000,61.317196,151.653290,2.492029,0.000000,0.000000,0.609043,0.886137,0.000000,6.874779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.498324,16.940197,13.616151,0.000000,107221.695312,0.450779,0.000000,0.000000,0.667958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2619.109619
0.000000,0.000000,0.000000,1.684692,0.000000,0.000000,0.000000,0.000000,0.896100,0.000000,0.000000,0.000000,0.000000,0.000000,11.000000,0.578160,0.000000,0.563155,0.141763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.359669,48.792500,8.789587,0.000000,0.286181,0.622447,0.248909,1.082255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.979657,300.884766,310.381714,0.000000,103792.585938,0.921002,1.262105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2619.677002
