"CCR5","CD11b","CD11c","CD127","CD14","CD16","CD163","CD19","CD206","CD25","CD3","CD33","CD34","CD4","CD45RO","CD45_NORM","CD45_TUM","CD56","CD64","CD66","CD8","CD80","CD86","CX3CR1","CXCR3_CD183","Ce140Di","Cisplatin1","Cisplatin2","Cs133Di","DNA1","DNA2","Er167Di","Eu151Di","Eu153Di","Event_length","Gd155Di","Gd157Di","HLA-DR","I127Di","La138Di","La139Di","Nd150Di","PD1","PDL1_CD274","Pm147Di","SampleID","Yb171Di","Yb172Di","Yb173Di","cellType","e131Di","Time"
3.539331,1.430326,5.262742,2.726379,1.713952,0.000000,0.000000,0.446536,1.512346,6.531280,1.143914,1.758759,1.543476,1.576340,1.295184,0.739020,3.800385,3.166009,1.114089,2.995210,0.147441,2.953360,4.474897,1.790781,5.489306,0.000000,0.747680,0.000000,0.000000,0.320459,0.366059,0.328118,0.000000,0.000000,3.212466,0.485784,0.679092,5.466145,0.015130,2.509605,0.000000,0.085815,0.845730,4.274773,0.057494,10.175710,0.329402,0.787015,0.166808,61.000000,0.373543,5.918564
2.430829,1.970841,3.885699,0.156985,2.624345,0.000000,0.718455,0.153186,2.440500,5.827262,0.350282,1.076591,0.574807,0.572695,1.571451,0.254052,3.839952,1.654787,1.873095,2.722016,0.000000,1.963917,4.130266,1.078782,4.533308,0.000000,1.220399,0.824619,0.000000,0.512469,0.523111,0.022066,1.198802,0.773771,2.272441,0.000000,0.970507,5.775715,0.000000,1.873080,0.000000,0.000000,0.588319,4.673728,0.000000,10.284354,0.000000,0.584804,0.123408,73.000000,0.000000,5.918996
2.767076,2.970415,4.660805,0.724485,2.746918,0.000000,0.125217,0.000000,0.054841,2.993843,0.000000,1.899485,1.608546,0.340875,0.923935,0.000000,3.618589,1.592298,1.312249,0.554188,0.001033,1.692275,3.091688,0.693388,4.238323,0.000000,0.007920,0.054604,0.000000,0.445862,0.816672,0.000000,0.000000,0.000000,2.350926,0.000000,0.000000,5.696468,0.198608,1.616818,0.000000,0.000000,0.427846,1.578739,0.000000,9.712996,0.000000,0.593156,0.431372,104.000000,0.000000,5.922713
1.175836,4.247174,5.332409,3.765423,2.880035,0.000000,0.762330,1.755317,0.047460,4.182364,0.008357,2.817624,0.979051,0.000000,0.368362,0.200645,4.305013,1.979510,0.590497,0.000000,0.168149,0.389590,3.212440,0.000000,2.104583,0.000000,0.415451,0.000000,0.000000,0.376122,1.108252,0.000000,0.000000,0.000000,2.423792,0.343907,0.000000,5.271144,0.121596,3.011211,0.082084,0.000000,0.266094,3.315660,0.000000,10.409820,0.000000,0.323903,0.162382,109.000000,0.020112,5.991224
2.630203,4.844979,4.299806,3.323320,2.798498,2.959974,2.963499,2.991429,2.520596,3.902585,1.707203,2.948933,2.584511,1.794287,3.911119,0.657452,4.408474,3.062898,1.191521,2.920188,1.446783,3.992793,3.659752,2.625477,4.696074,0.218021,0.282265,0.405228,0.000000,0.891569,0.305305,0.088843,0.000000,0.000000,2.423792,0.085222,0.892283,2.575192,1.246724,2.456316,0.000000,0.000000,2.658117,3.779605,0.082071,10.163181,0.000000,0.172419,0.000000,12.000000,0.144688,5.995851
1.810213,3.410317,5.210269,0.000000,1.548992,0.029096,0.000000,0.537991,0.985615,1.124958,0.252084,0.516611,0.412173,0.010255,0.161276,0.706774,4.806312,0.115690,0.296572,0.000000,0.000000,1.812683,4.795212,0.375014,2.119769,0.586413,1.149919,0.383618,0.000000,0.290729,0.535889,0.000000,0.000000,0.000000,2.272441,1.139624,1.437270,5.324126,0.567933,3.479519,0.170242,0.000000,0.587064,4.977171,0.000000,10.286765,0.000000,0.119136,0.046853,104.000000,0.513658,6.002199
2.853047,4.543943,4.115731,1.200664,2.057284,2.829658,2.337561,1.337527,0.838326,1.955252,1.555116,2.254198,3.415525,2.457965,2.824814,1.236641,4.212564,2.656519,3.151397,4.230989,3.156093,2.957690,3.692266,2.270462,5.795458,0.011481,1.106569,0.851942,0.000000,0.489248,0.424400,0.687742,0.000000,0.101554,2.824903,0.031480,0.498888,2.854216,1.104239,1.763400,0.000000,0.273697,4.279344,3.423461,0.000000,10.373378,0.000000,0.047147,0.000000,12.000000,0.000000,6.079725
2.184478,0.822684,3.334801,1.649887,0.082801,0.000000,0.000000,0.857675,0.634155,3.947890,0.000000,1.676417,0.425996,0.000000,0.396803,0.000000,2.551533,2.267218,0.000000,0.000000,0.254200,2.088965,4.055209,0.504128,3.536626,0.000000,0.093828,0.350937,0.000000,0.874881,0.662209,0.131640,0.000000,0.023294,2.094712,0.274326,0.298357,4.771073,0.164993,2.863021,0.000000,0.000000,1.217683,2.886403,0.000000,10.480019,0.000000,0.000000,0.261212,73.000000,0.090176,6.087201
2.075185,4.095070,5.374496,0.441172,3.625653,0.434932,0.866971,0.000000,0.000000,3.305931,0.554476,3.100519,0.240865,0.000000,0.209186,0.000000,4.265822,1.909227,0.985407,2.381894,0.000000,1.533250,4.395855,0.340872,3.960383,0.000000,0.000000,0.594559,0.000000,0.596012,0.651992,0.000000,0.000000,0.163338,2.699162,0.034402,1.484454,5.446634,0.000000,2.365945,0.000000,0.000000,0.353637,3.633826,0.000000,10.131385,0.110376,0.745783,0.638461,26.000000,0.000000,6.105875
3.301763,3.013016,5.050485,0.439289,3.047940,0.000000,0.439272,0.342884,0.570123,3.542448,0.000000,2.067627,4.115023,0.428362,0.233859,0.000000,3.630002,1.908653,1.186540,1.477605,0.043486,0.886385,3.446106,0.429065,5.063568,0.178163,1.136349,0.327206,0.000000,0.447754,0.414419,0.464942,0.043384,0.000000,2.423792,0.079569,0.486196,5.747253,0.000000,2.438402,0.000000,0.458288,0.827596,2.317887,0.000000,9.893697,0.189800,0.282366,0.871899,26.000000,0.146066,6.118605
