"R_670_14-A", "R_780_60-A", "V_450_50-A", "YG_586_15-A", "YG_780_60-A", "B_710_50-A"
143.08,2514.85,157.38,2153.8,6699.88,7823.44
322.66,1991.44,1581.54,8697.04,786.28,13892.8
461.36,2415.57,718.1,3696.44,627.88,14025.8
146,2940.44,543.52,3255.56,8991.4,7986.08
13.87,394.93,399.04,2719.64,825.44,2406.92
397.12,3152.87,567.6,2795.76,2789.6,20004
189.07,880.38,730.14,4570.72,833.8,7797.6
913.23,3308.36,12177.6,83660.3,3559.6,41954.3
160.6,583.27,3292.94,6023.16,906.4,5948.52
70.81,1262.9,509.12,2500.96,3951.2,5104.92
221.19,3641.97,643.28,2614.48,11099.4,6936.52
27.01,1089.16,1219.48,4949.56,3156.56,4020.4
120.45,1414.01,235.64,2218.04,3809.52,4406.48
2.19,1042.44,262.3,2066.68,2911.48,3369.84
262.07,4125.23,8245.68,54330.8,6141.08,32745.4
83.95,1504.53,229.62,2678.72,3194.84,5398.28
846.07,5102.7,2191.28,17029.8,3237.96,44012.4
455.52,10463.8,632.96,15560.6,5905.68,17764.2
474.5,7941.67,1322.68,3215.08,1259.72,23703.6
106.58,968.71,127.28,1675.52,3265.68,1751.8
197.83,2016.26,414.52,2749.12,5349.52,6309.52
235.06,2077.58,465.26,2881.56,4237.64,6209.96
83.95,381.79,1832.66,3937.12,1094.28,3325.76
654.08,23180.4,6419.04,30411.5,3319.36,25653.8
89.06,1032.22,368.08,1821.16,3328.6,2524.72
144.54,1643.96,506.54,1963.72,5100.92,4738.6
371.57,3305.44,3107.18,16859.5,5126,20453.1
202.21,2133.79,4767.84,30725.2,4228.4,19869.4
135.78,1933.77,291.54,2010.36,4500.32,5130
208.05,2983.51,199.52,9374.2,2445.96,11236.6
51.83,1482.63,832.48,2484.24,3770.8,3176.8
62.78,1444.67,166.84,2295.92,4520.56,3857.76
22.63,608.09,80.84,3023.24,2809.84,2178.16
202.94,1016.89,4579.5,16953.6,2479.84,19064.6
178.12,2503.9,6482.68,23177,7019.76,19313.1
272.29,4568.34,454.08,2370.72,2756.16,10320
472.31,2497.33,431.72,7041.32,759.44,15526
1054.85,5218.04,1118,15908.2,1967.24,59150
1081.13,3609.85,1187.66,9568.68,3707,15785.2
129.94,1375.32,1203.14,39606.6,2608.32,17236.8
33.58,608.82,208.12,2209.68,1906.08,1851.36
